position_x,position_y,orientation,marker_id
-0.1162157142047649,-0.05816727954135606,-1.0425262467015337,1
-0.12139208830740184,-0.06297623412268447,-1.1488393327512114,1
-0.1193722467860574,-0.061836449175084934,-1.3324874330460657,1
-0.11737348631712308,-0.058484395732170597,-1.100121430209302,1
-0.11832447212287078,-0.061282427904896714,-1.1255452535441772,1
-0.11677232878900223,-0.060632494695978506,-1.1068320655799802,1
-0.11676993753523357,-0.06262021774448664,-1.1116742745458459,1
-0.1180020517033572,-0.06503656202007238,-1.143040881785003,1
-0.11172135126773497,-0.05900878307112381,-1.0343270884864255,1
-0.11717234837475365,-0.06426825492407187,-1.0656519631749297,1
-0.11952989262421365,-0.06592625455355253,-1.1982423220321963,1
-0.11485089125042214,-0.058757094677961336,-1.029584150968037,1
-0.11529072429781428,-0.05786226627960181,-1.128707997561085,1
-0.11462305890192159,-0.056876429704613346,-1.3214241785011767,1
-0.1193722467860574,-0.061836449175084934,-1.3324874330460657,1
-0.11607337941824541,-0.0575839163576283,-1.0805275855619971,1
-0.11728945647317757,-0.06090126388865877,-1.1623918375220845,1
-0.1203740654557437,-0.06519434428151219,-1.1741774232775495,1
-0.1142248349231168,-0.06073515986686398,-1.1543177176005917,1
-0.11551367415492014,-0.06237412354139435,-1.069877365935672,1
-0.11952989262421365,-0.06592625455355253,-1.1982423220321963,1
-0.11401505135019435,-0.05988437592953047,-1.0375279739251133,1
-0.11722430134617906,-0.06294199547783849,-1.1305322931201014,1
-0.11584807417340975,-0.06055534353689543,-1.0499557656605363,1
-0.11584807417340975,-0.06055534353689543,-1.0499557656605363,1
-0.11524489577281627,-0.059875262867267603,-1.164907755556877,1
-0.11413237532062537,-0.059390145413308365,-1.049355510413295,1
-0.12011088708625539,-0.06605660184194276,-1.1693773427018097,1
-0.12083045028177314,-0.06813039890110059,-1.0984625524582647,1
-0.11401505135019435,-0.05988437592953047,-1.0375279739251133,1
-0.11723854472713352,-0.06241420482176849,-1.179221313245884,1
-0.11584807417340975,-0.06055534353689543,-1.0499557656605363,1
-0.12135843120599854,-0.06583874009026217,-1.0893669927027085,1
-0.11668049748193299,-0.06175251785132249,-1.1153343069462625,1
-0.11757152428618883,-0.06301480021499731,-1.1254333046419296,1
-0.1192651007153151,-0.0664170920737597,-1.1587303843941241,1
-0.11574943836799984,-0.06285753683894449,-1.252528382719472,1
-0.11757152428618883,-0.06301480021499731,-1.1254333046419296,1
-0.1203740654557437,-0.06519434428151219,-1.1741774232775495,1
-0.1203740654557437,-0.06519434428151219,-1.1741774232775495,1
-0.11584807417340975,-0.06055534353689543,-1.0499557656605363,1
-0.11722430134617906,-0.06294199547783849,-1.1305322931201014,1
-0.1161105408708723,-0.0616021314578826,-1.0476735096041323,1
-0.11660553466755047,-0.06283793719705158,-1.1008254747018575,1
-0.11413237532062537,-0.059390145413308365,-1.049355510413295,1
-0.12135843120599854,-0.06583874009026217,-1.0893669927027085,1
-0.12036393418759667,-0.06473004207225672,-1.1540976637287426,1
-0.11711570352910333,-0.061475961635568205,-1.2562461829808624,1
-0.12036393418759667,-0.06473004207225672,-1.1540976637287426,1
-0.12036393418759667,-0.06473004207225672,-1.1540976637287426,1
-0.1203740654557437,-0.06519434428151219,-1.1741774232775495,1
